tensor(2.2318, device='cuda:0')
tensor(2.3270, device='cuda:0')
tensor(2.4530, device='cuda:0')
tensor(2.4738, device='cuda:0')
tensor(2.1285, device='cuda:0')
tensor(2.3192, device='cuda:0')
tensor(2.3710, device='cuda:0')
tensor(2.1959, device='cuda:0')
tensor(2.2703, device='cuda:0')
tensor(2.3423, device='cuda:0')
tensor(2.3778, device='cuda:0')
tensor(2.4733, device='cuda:0')
tensor(2.2572, device='cuda:0')
tensor(2.3629, device='cuda:0')
tensor(2.4970, device='cuda:0')
tensor(2.4585, device='cuda:0')
tensor(2.5622, device='cuda:0')
tensor(2.7020, device='cuda:0')
tensor(2.6449, device='cuda:0')
tensor(2.4510, device='cuda:0')
tensor(2.6872, device='cuda:0')
tensor(2.4479, device='cuda:0')
tensor(2.3279, device='cuda:0')
tensor(2.4998, device='cuda:0')
tensor(2.4542, device='cuda:0')
tensor(2.5064, device='cuda:0')
tensor(2.5690, device='cuda:0')
tensor(2.4162, device='cuda:0')
tensor(2.4259, device='cuda:0')
tensor(2.4560, device='cuda:0')
tensor(2.4971, device='cuda:0')
tensor(2.3864, device='cuda:0')
tensor(2.4465, device='cuda:0')
tensor(2.3103, device='cuda:0')
tensor(2.3437, device='cuda:0')
tensor(2.1878, device='cuda:0')
tensor(2.2460, device='cuda:0')
tensor(2.3749, device='cuda:0')
tensor(2.3845, device='cuda:0')
tensor(2.2776, device='cuda:0')
tensor(2.3394, device='cuda:0')
tensor(2.2475, device='cuda:0')
tensor(2.4407, device='cuda:0')
tensor(2.2334, device='cuda:0')
tensor(2.3107, device='cuda:0')
tensor(2.3901, device='cuda:0')
tensor(2.3558, device='cuda:0')
tensor(2.1134, device='cuda:0')
tensor(2.1384, device='cuda:0')
tensor(2.0670, device='cuda:0')
tensor(2.4825, device='cuda:0')
tensor(2.4095, device='cuda:0')
tensor(2.4841, device='cuda:0')
tensor(2.0992, device='cuda:0')
tensor(2.5090, device='cuda:0')
tensor(2.4063, device='cuda:0')
tensor(2.4322, device='cuda:0')
tensor(2.6115, device='cuda:0')
tensor(2.4548, device='cuda:0')
tensor(2.2994, device='cuda:0')
tensor(2.2095, device='cuda:0')
tensor(2.1442, device='cuda:0')
tensor(2.3824, device='cuda:0')
tensor(2.6447, device='cuda:0')
tensor(2.6680, device='cuda:0')
tensor(2.8000, device='cuda:0')
tensor(2.4375, device='cuda:0')
tensor(2.4124, device='cuda:0')
tensor(2.2968, device='cuda:0')
tensor(2.3423, device='cuda:0')
tensor(2.4163, device='cuda:0')
tensor(2.4152, device='cuda:0')
tensor(2.2624, device='cuda:0')
tensor(2.4108, device='cuda:0')
tensor(2.4100, device='cuda:0')
tensor(2.3274, device='cuda:0')
tensor(2.4422, device='cuda:0')
tensor(2.3316, device='cuda:0')
tensor(2.2597, device='cuda:0')
tensor(2.4012, device='cuda:0')
tensor(2.4084, device='cuda:0')
tensor(2.3039, device='cuda:0')
tensor(2.8102, device='cuda:0')
tensor(2.5635, device='cuda:0')
tensor(2.3126, device='cuda:0')
tensor(2.4103, device='cuda:0')
tensor(2.4024, device='cuda:0')
tensor(2.3695, device='cuda:0')
tensor(2.6321, device='cuda:0')
tensor(2.4735, device='cuda:0')
tensor(2.3904, device='cuda:0')
tensor(2.4492, device='cuda:0')
